[2026-03-09 02:42:32] 删除文件: generate_synthetic.log
[2026-03-09 02:42:32] 清理完成，已删除 79 个合成数据目录。可重新运行: python generate_synthetic_500.py
[2026-03-09 02:42:49] ======== 开始生成 500 条合成数据 ========
[2026-03-09 02:42:49] 生成 500 条合成数据（单线程顺序）
[2026-03-09 02:42:49] 目标行数分布: min=6 max=134 前20个=[13, 16, 13, 23, 20, 35, 10, 12, 14, 16, 15, 16, 7, 35, 26, 32, 10, 50, 44, 60]
[2026-03-09 02:42:49] API Key 已配置，开始顺序生成...
[2026-03-09 02:43:07]   [(1/500)] meaningful_000 OK (lines=23)
[2026-03-09 02:43:25]   [(2/500)] meaningful_001 OK (lines=25)
[2026-03-09 02:43:44]   [(3/500)] meaningful_002 OK (lines=16)
[2026-03-09 02:44:03]   [(4/500)] meaningful_003 OK (lines=31)
[2026-03-09 02:44:11]     [mermaid.ink 400] attempt 1
[2026-03-09 02:44:16]     [mermaid.ink 400] attempt 2
[2026-03-09 02:44:22]     [mermaid.ink 400] attempt 3
[2026-03-09 02:44:26]   [(5/500)] meaningful_004 PNG 渲染失败
[2026-03-09 02:44:46]   [(5/500)] meaningful_004 OK (lines=27)
[2026-03-09 02:45:06]   [(6/500)] meaningful_005 OK (lines=46)
[2026-03-09 02:45:24]   [(7/500)] meaningful_006 OK (lines=27)
[2026-03-09 02:45:43]   [(8/500)] meaningful_007 OK (lines=26)
[2026-03-09 02:45:49]     [mermaid.ink 400] attempt 1
[2026-03-09 02:45:55]     [mermaid.ink 400] attempt 2
[2026-03-09 02:46:00]     [mermaid.ink 400] attempt 3
[2026-03-09 02:46:04]   [(9/500)] meaningful_008 PNG 渲染失败
[2026-03-09 02:46:15]     [mermaid.ink 400] attempt 1
[2026-03-09 02:46:21]     [mermaid.ink 400] attempt 2
[2026-03-09 02:46:26]     [mermaid.ink 400] attempt 3
[2026-03-09 02:46:30]   [(9/500)] meaningful_008 PNG 渲染失败
[2026-03-09 02:46:52]   [(9/500)] meaningful_008 OK (lines=32)
[2026-03-09 02:46:59]     [mermaid.ink 400] attempt 1
[2026-03-09 02:47:05]     [mermaid.ink 400] attempt 2
[2026-03-09 02:47:10]     [mermaid.ink 400] attempt 3
[2026-03-09 02:47:14]   [(10/500)] meaningful_009 PNG 渲染失败
[2026-03-09 02:47:37]   [(10/500)] meaningful_009 OK (lines=29)
[2026-03-09 02:47:54]   [(11/500)] meaningful_010 OK (lines=26)
[2026-03-09 02:48:02]     [mermaid.ink 400] attempt 1
[2026-03-09 02:48:07]     [mermaid.ink 400] attempt 2
[2026-03-09 02:48:13]     [mermaid.ink 400] attempt 3
[2026-03-09 02:48:17]   [(12/500)] meaningful_011 PNG 渲染失败
[2026-03-09 02:48:28]     [mermaid.ink 400] attempt 1
[2026-03-09 02:48:33]     [mermaid.ink 400] attempt 2
[2026-03-09 02:48:39]     [mermaid.ink 400] attempt 3
[2026-03-09 02:48:43]   [(12/500)] meaningful_011 PNG 渲染失败
[2026-03-09 02:49:04]   [(12/500)] meaningful_011 OK (lines=26)
[2026-03-09 02:49:19]   [(13/500)] meaningful_012 OK (lines=10)
[2026-03-09 02:49:37]   [(14/500)] meaningful_013 OK (lines=41)
[2026-03-09 02:49:56]   [(15/500)] meaningful_014 OK (lines=35)
[2026-03-09 02:50:09]     [mermaid.ink 400] attempt 1
[2026-03-09 02:50:14]     [mermaid.ink 400] attempt 2
[2026-03-09 02:50:20]     [mermaid.ink 400] attempt 3
[2026-03-09 02:50:24]   [(16/500)] meaningful_015 PNG 渲染失败
[2026-03-09 02:50:49]   [(16/500)] meaningful_015 OK (lines=48)
[2026-03-09 02:51:06]   [(17/500)] meaningful_016 OK (lines=27)
[2026-03-09 02:51:29]   [(18/500)] meaningful_017 OK (lines=40)
[2026-03-09 02:51:52]   [(19/500)] meaningful_018 OK (lines=64)
[2026-03-09 02:52:15]   [(20/500)] meaningful_019 OK (lines=44)
[2026-03-09 02:52:33]   [(21/500)] meaningful_020 OK (lines=19)
[2026-03-09 02:52:50]   [(22/500)] meaningful_021 OK (lines=19)
[2026-03-09 02:52:58]     [mermaid.ink 400] attempt 1
[2026-03-09 02:53:04]     [mermaid.ink 400] attempt 2
[2026-03-09 02:53:09]     [mermaid.ink 400] attempt 3
[2026-03-09 02:53:13]   [(23/500)] meaningful_022 PNG 渲染失败
[2026-03-09 02:53:37]   [(23/500)] meaningful_022 OK (lines=22)
[2026-03-09 02:53:57]   [(24/500)] meaningful_023 OK (lines=30)
[2026-03-09 02:54:20]   [(25/500)] meaningful_024 OK (lines=57)
[2026-03-09 02:54:39]   [(26/500)] meaningful_025 OK (lines=20)
[2026-03-09 02:55:00]   [(27/500)] meaningful_026 OK (lines=37)
[2026-03-09 02:55:10]     [mermaid.ink 400] attempt 1
[2026-03-09 02:55:16]     [mermaid.ink 400] attempt 2
[2026-03-09 02:55:22]     [mermaid.ink 400] attempt 3
[2026-03-09 02:55:26]   [(28/500)] meaningful_027 PNG 渲染失败
[2026-03-09 02:55:39]     [mermaid.ink 400] attempt 1
[2026-03-09 02:55:45]     [mermaid.ink 400] attempt 2
[2026-03-09 02:55:50]     [mermaid.ink 400] attempt 3
[2026-03-09 02:55:54]   [(28/500)] meaningful_027 PNG 渲染失败
[2026-03-09 02:56:08]     [mermaid.ink 400] attempt 1
[2026-03-09 02:56:14]     [mermaid.ink 400] attempt 2
[2026-03-09 02:56:19]     [mermaid.ink 400] attempt 3
[2026-03-09 02:56:23]   [(28/500)] meaningful_027 PNG 渲染失败
[2026-03-09 02:56:52]   [(28/500)] meaningful_027 OK (lines=73)
[2026-03-09 02:56:59]     [mermaid.ink 400] attempt 1
[2026-03-09 02:57:05]     [mermaid.ink 400] attempt 2
[2026-03-09 02:57:10]     [mermaid.ink 400] attempt 3
[2026-03-09 02:57:14]   [(29/500)] meaningful_028 PNG 渲染失败
[2026-03-09 02:57:34]   [(29/500)] meaningful_028 OK (lines=21)
[2026-03-09 02:57:41]     [mermaid.ink 400] attempt 1
[2026-03-09 02:57:46]     [mermaid.ink 400] attempt 2
[2026-03-09 02:57:52]     [mermaid.ink 400] attempt 3
[2026-03-09 02:57:56]   [(30/500)] meaningful_029 PNG 渲染失败
[2026-03-09 02:58:14]   [(30/500)] meaningful_029 OK (lines=17)
[2026-03-09 02:58:32]   [(31/500)] meaningful_030 OK (lines=34)
[2026-03-09 02:58:43]     [mermaid.ink 400] attempt 1
[2026-03-09 02:58:49]     [mermaid.ink 400] attempt 2
[2026-03-09 02:58:55]     [mermaid.ink 400] attempt 3
[2026-03-09 02:58:59]   [(32/500)] meaningful_031 PNG 渲染失败
[2026-03-09 02:59:13]     [mermaid.ink 400] attempt 1
[2026-03-09 02:59:18]     [mermaid.ink 400] attempt 2
[2026-03-09 02:59:24]     [mermaid.ink 400] attempt 3
[2026-03-09 02:59:28]   [(32/500)] meaningful_031 PNG 渲染失败
[2026-03-09 02:59:43]     [mermaid.ink 400] attempt 1
[2026-03-09 02:59:48]     [mermaid.ink 400] attempt 2
[2026-03-09 02:59:54]     [mermaid.ink 400] attempt 3
[2026-03-09 02:59:58]   [(32/500)] meaningful_031 PNG 渲染失败
[2026-03-09 03:00:12]     [mermaid.ink 400] attempt 1
[2026-03-09 03:00:17]     [mermaid.ink 400] attempt 2
[2026-03-09 03:00:23]     [mermaid.ink 400] attempt 3
[2026-03-09 03:00:27]   [(32/500)] meaningful_031 PNG 渲染失败
[2026-03-09 03:00:40]     [mermaid.ink 400] attempt 1
[2026-03-09 03:00:45]     [mermaid.ink 400] attempt 2
[2026-03-09 03:00:51]     [mermaid.ink 400] attempt 3
[2026-03-09 03:00:55]   [(32/500)] meaningful_031 PNG 渲染失败
[2026-03-09 03:00:59]   [(32/500)] meaningful_031 失败，已跳过
[2026-03-09 03:01:23]   [(33/500)] meaningful_032 OK (lines=43)
[2026-03-09 03:01:47]   [(34/500)] meaningful_033 OK (lines=37)
[2026-03-09 03:02:06]   [(35/500)] meaningful_034 OK (lines=37)
[2026-03-09 03:02:26]   [(36/500)] meaningful_035 OK (lines=22)
[2026-03-09 03:02:41]   [(37/500)] meaningful_036 OK (lines=10)
[2026-03-09 03:02:51]     [mermaid.ink 400] attempt 1
[2026-03-09 03:02:57]     [mermaid.ink 400] attempt 2
[2026-03-09 03:03:02]     [mermaid.ink 400] attempt 3
[2026-03-09 03:03:06]   [(38/500)] meaningful_037 PNG 渲染失败
[2026-03-09 03:03:20]     [mermaid.ink 400] attempt 1
[2026-03-09 03:03:26]     [mermaid.ink 400] attempt 2
[2026-03-09 03:03:31]     [mermaid.ink 400] attempt 3
[2026-03-09 03:03:35]   [(38/500)] meaningful_037 PNG 渲染失败
