=== Pilot V2 汇总（默认风格，分类型分难度）===

按模型：
  qwen/qwen3-vl-235b-a22b-thinking: 75.0% (45/60)
  qwen/qwen3-vl-8b-thinking: 71.7% (43/60)
  qwen/qwen3-vl-30b-a3b-thinking: 70.0% (42/60)
  qwen/qwen3-vl-30b-a3b-instruct: 66.7% (40/60)
  qwen/qwen3-vl-235b-a22b-instruct: 66.7% (40/60)
  qwen/qwen3-vl-8b-instruct: 65.0% (39/60)

按题目类型：
  factual: 86.4% (57/66)
  negation: 65.5% (55/84)
  reasoning: 65.2% (137/210)

按难度：
  medium: 71.8% (125/174)
  easy: 71.7% (43/60)
  hard: 64.3% (81/126)

按模型×类型：
  qwen/qwen3-vl-235b-a22b-instruct | factual: 90.9%
  qwen/qwen3-vl-235b-a22b-instruct | negation: 78.6%
  qwen/qwen3-vl-235b-a22b-instruct | reasoning: 54.3%
  qwen/qwen3-vl-235b-a22b-thinking | factual: 81.8%
  qwen/qwen3-vl-235b-a22b-thinking | negation: 64.3%
  qwen/qwen3-vl-235b-a22b-thinking | reasoning: 77.1%
  qwen/qwen3-vl-30b-a3b-instruct | factual: 81.8%
  qwen/qwen3-vl-30b-a3b-instruct | negation: 64.3%
  qwen/qwen3-vl-30b-a3b-instruct | reasoning: 62.9%
  qwen/qwen3-vl-30b-a3b-thinking | factual: 90.9%
  qwen/qwen3-vl-30b-a3b-thinking | negation: 64.3%
  qwen/qwen3-vl-30b-a3b-thinking | reasoning: 65.7%
  qwen/qwen3-vl-8b-instruct | factual: 81.8%
  qwen/qwen3-vl-8b-instruct | negation: 71.4%
  qwen/qwen3-vl-8b-instruct | reasoning: 57.1%
  qwen/qwen3-vl-8b-thinking | factual: 90.9%
  qwen/qwen3-vl-8b-thinking | negation: 50.0%
  qwen/qwen3-vl-8b-thinking | reasoning: 74.3%

按模型×难度：
  qwen/qwen3-vl-235b-a22b-instruct | easy: 70.0%
  qwen/qwen3-vl-235b-a22b-instruct | hard: 57.1%
  qwen/qwen3-vl-235b-a22b-instruct | medium: 72.4%
  qwen/qwen3-vl-235b-a22b-thinking | easy: 70.0%
  qwen/qwen3-vl-235b-a22b-thinking | hard: 71.4%
  qwen/qwen3-vl-235b-a22b-thinking | medium: 79.3%
  qwen/qwen3-vl-30b-a3b-instruct | easy: 60.0%
  qwen/qwen3-vl-30b-a3b-instruct | hard: 61.9%
  qwen/qwen3-vl-30b-a3b-instruct | medium: 72.4%
  qwen/qwen3-vl-30b-a3b-thinking | easy: 80.0%
  qwen/qwen3-vl-30b-a3b-thinking | hard: 66.7%
  qwen/qwen3-vl-30b-a3b-thinking | medium: 69.0%
  qwen/qwen3-vl-8b-instruct | easy: 80.0%
  qwen/qwen3-vl-8b-instruct | hard: 61.9%
  qwen/qwen3-vl-8b-instruct | medium: 62.1%
  qwen/qwen3-vl-8b-thinking | easy: 70.0%
  qwen/qwen3-vl-8b-thinking | hard: 66.7%
  qwen/qwen3-vl-8b-thinking | medium: 75.9%
