=== Pilot 评测汇总 ===

按模型准确率：
  qwen/qwen3.5-flash-02-23: 89.0% (178/200)
  bytedance-seed/seed-2.0-mini: 88.5% (177/200)
  google/gemini-2.0-flash-001: 80.0% (160/200)

按风格准确率：
  dark: 88.0% (132/150)
  default: 87.3% (131/150)
  neutral: 84.7% (127/150)
  forest: 83.3% (125/150)

按模型×风格：
  bytedance-seed/seed-2.0-mini | dark: 90.0%
  bytedance-seed/seed-2.0-mini | default: 88.0%
  bytedance-seed/seed-2.0-mini | forest: 88.0%
  bytedance-seed/seed-2.0-mini | neutral: 88.0%
  google/gemini-2.0-flash-001 | dark: 82.0%
  google/gemini-2.0-flash-001 | default: 84.0%
  google/gemini-2.0-flash-001 | forest: 78.0%
  google/gemini-2.0-flash-001 | neutral: 76.0%
  qwen/qwen3.5-flash-02-23 | dark: 92.0%
  qwen/qwen3.5-flash-02-23 | default: 90.0%
  qwen/qwen3.5-flash-02-23 | forest: 84.0%
  qwen/qwen3.5-flash-02-23 | neutral: 90.0%
