=== Pilot V3 汇总（四类数据 × 多模型）===

按数据来源类型：
  real: 81.9% (295/360)
  meaningful: 84.2% (303/360)
  chaos: 65.6% (236/360)
  misleading: 60.3% (217/360)

按模型：
  qwen/qwen3-vl-235b-a22b-thinking: 82.1% (197/240)
  qwen/qwen3-vl-8b-thinking: 80.8% (194/240)
  qwen/qwen3-vl-30b-a3b-thinking: 77.5% (186/240)
  qwen/qwen3-vl-235b-a22b-instruct: 75.0% (180/240)
  qwen/qwen3-vl-8b-instruct: 62.9% (151/240)
  qwen/qwen3-vl-30b-a3b-instruct: 59.6% (143/240)

按模型 × 数据来源（核心表）：
  qwen/qwen3-vl-235b-a22b-instruct | chaos: 76.7% (46/60)
  qwen/qwen3-vl-235b-a22b-instruct | meaningful: 81.7% (49/60)
  qwen/qwen3-vl-235b-a22b-instruct | misleading: 61.7% (37/60)
  qwen/qwen3-vl-235b-a22b-instruct | real: 80.0% (48/60)
  qwen/qwen3-vl-235b-a22b-thinking | chaos: 75.0% (45/60)
  qwen/qwen3-vl-235b-a22b-thinking | meaningful: 91.7% (55/60)
  qwen/qwen3-vl-235b-a22b-thinking | misleading: 76.7% (46/60)
  qwen/qwen3-vl-235b-a22b-thinking | real: 85.0% (51/60)
  qwen/qwen3-vl-30b-a3b-instruct | chaos: 43.3% (26/60)
  qwen/qwen3-vl-30b-a3b-instruct | meaningful: 80.0% (48/60)
  qwen/qwen3-vl-30b-a3b-instruct | misleading: 40.0% (24/60)
  qwen/qwen3-vl-30b-a3b-instruct | real: 75.0% (45/60)
  qwen/qwen3-vl-30b-a3b-thinking | chaos: 70.0% (42/60)
  qwen/qwen3-vl-30b-a3b-thinking | meaningful: 88.3% (53/60)
  qwen/qwen3-vl-30b-a3b-thinking | misleading: 65.0% (39/60)
  qwen/qwen3-vl-30b-a3b-thinking | real: 86.7% (52/60)
  qwen/qwen3-vl-8b-instruct | chaos: 55.0% (33/60)
  qwen/qwen3-vl-8b-instruct | meaningful: 76.7% (46/60)
  qwen/qwen3-vl-8b-instruct | misleading: 45.0% (27/60)
  qwen/qwen3-vl-8b-instruct | real: 75.0% (45/60)
  qwen/qwen3-vl-8b-thinking | chaos: 73.3% (44/60)
  qwen/qwen3-vl-8b-thinking | meaningful: 86.7% (52/60)
  qwen/qwen3-vl-8b-thinking | misleading: 73.3% (44/60)
  qwen/qwen3-vl-8b-thinking | real: 90.0% (54/60)

按模型 × 题目类型：
  qwen/qwen3-vl-235b-a22b-instruct | factual: 78.9%
  qwen/qwen3-vl-235b-a22b-instruct | negation: 80.0%
  qwen/qwen3-vl-235b-a22b-instruct | reasoning: 72.1%
  qwen/qwen3-vl-235b-a22b-thinking | factual: 84.2%
  qwen/qwen3-vl-235b-a22b-thinking | negation: 89.1%
  qwen/qwen3-vl-235b-a22b-thinking | reasoning: 78.9%
  qwen/qwen3-vl-30b-a3b-instruct | factual: 76.3%
  qwen/qwen3-vl-30b-a3b-instruct | negation: 60.0%
  qwen/qwen3-vl-30b-a3b-instruct | reasoning: 55.1%
  qwen/qwen3-vl-30b-a3b-thinking | factual: 81.6%
  qwen/qwen3-vl-30b-a3b-thinking | negation: 89.1%
  qwen/qwen3-vl-30b-a3b-thinking | reasoning: 72.1%
  qwen/qwen3-vl-8b-instruct | factual: 81.6%
  qwen/qwen3-vl-8b-instruct | negation: 63.6%
  qwen/qwen3-vl-8b-instruct | reasoning: 57.8%
  qwen/qwen3-vl-8b-thinking | factual: 76.3%
  qwen/qwen3-vl-8b-thinking | negation: 90.9%
  qwen/qwen3-vl-8b-thinking | reasoning: 78.2%
